#t	density_B	P_survival
10	1.26278	1
12.5893	1.17769	1
15.8489	1.08269	1
19.9526	0.993012	1
25.1189	0.902051	1
31.6228	0.834759	1
39.8107	0.769541	0.9999
50.1187	0.7067	0.9998
63.0957	0.655439	0.998503
79.4328	0.60032	0.992315
100	0.54985	0.97994
125.893	0.504933	0.96008
158.489	0.463058	0.926447
199.526	0.419279	0.881737
251.189	0.383869	0.823353
316.228	0.353765	0.756088
398.107	0.318706	0.682735
501.187	0.28477	0.603892
630.957	0.257258	0.52515
794.328	0.228167	0.450798
1000	0.19727	0.381637
1258.93	0.171153	0.317864
1584.89	0.137741	0.25509
1995.26	0.106121	0.194711
2511.89	0.0747107	0.137026
3162.28	0.0513442	0.0928144
3981.07	0.0303565	0.0563872
5011.87	0.0159626	0.0289421
6309.57	0.00701722	0.0129741
7943.28	0.00263146	0.00469062
10000	0.000585548	0.0010978
12589.3	0.000137226	0.000199601
15848.9	0	0
